household_id,building_id,estimated_population,estimated
hh_0001,bldg_0002,5,True
hh_0002,bldg_0003,3,True
hh_0003,bldg_0004,4,True
hh_0004,bldg_0005,4,True
hh_0005,bldg_0006,5,True
hh_0006,bldg_0007,4,True
hh_0007,bldg_0008,3,True
hh_0008,bldg_0009,4,True
hh_0009,bldg_0010,5,True
hh_0010,bldg_0011,4,True
hh_0011,bldg_0012,4,True
hh_0012,bldg_0013,4,True
hh_0013,bldg_0014,5,True
hh_0014,bldg_0016,3,True
hh_0015,bldg_0017,5,True
hh_0016,bldg_0018,3,True
hh_0017,bldg_0019,5,True
hh_0018,bldg_0020,4,True
hh_0019,bldg_0021,3,True
hh_0020,bldg_0022,3,True
hh_0021,bldg_0023,4,True
hh_0022,bldg_0024,3,True
hh_0023,bldg_0025,5,True
hh_0024,bldg_0026,4,True
hh_0025,bldg_0027,5,True
hh_0026,bldg_0028,3,True
hh_0027,bldg_0029,3,True
hh_0028,bldg_0030,4,True
hh_0029,bldg_0031,3,True
hh_0030,bldg_0032,3,True
hh_0031,bldg_0033,5,True
hh_0032,bldg_0034,5,True
hh_0033,bldg_0035,3,True
hh_0034,bldg_0036,3,True
hh_0035,bldg_0038,5,True
hh_0036,bldg_0039,5,True
hh_0037,bldg_0040,4,True
hh_0038,bldg_0041,3,True
hh_0039,bldg_0042,5,True
hh_0040,bldg_0043,3,True
hh_0041,bldg_0044,3,True
hh_0042,bldg_0045,5,True
hh_0043,bldg_0046,4,True
hh_0044,bldg_0047,4,True
hh_0045,bldg_0048,4,True
hh_0046,bldg_0049,5,True
hh_0047,bldg_0051,3,True
hh_0048,bldg_0052,5,True
hh_0049,bldg_0053,3,True
hh_0050,bldg_0054,4,True
hh_0051,bldg_0055,3,True
hh_0052,bldg_0056,3,True
hh_0053,bldg_0057,5,True
hh_0054,bldg_0058,4,True
hh_0055,bldg_0059,5,True
hh_0056,bldg_0060,4,True
hh_0057,bldg_0061,5,True
hh_0058,bldg_0062,4,True
hh_0059,bldg_0063,4,True
hh_0060,bldg_0064,3,True
hh_0061,bldg_0065,5,True
hh_0062,bldg_0066,3,True
hh_0063,bldg_0067,4,True
hh_0064,bldg_0069,3,True
hh_0065,bldg_0071,4,True
hh_0066,bldg_0073,4,True
hh_0067,bldg_0074,4,True
hh_0068,bldg_0075,3,True
hh_0069,bldg_0076,3,True
hh_0070,bldg_0077,4,True
hh_0071,bldg_0078,3,True
hh_0072,bldg_0079,4,True
hh_0073,bldg_0080,4,True
hh_0074,bldg_0081,3,True
hh_0075,bldg_0082,5,True
hh_0076,bldg_0083,3,True
hh_0077,bldg_0086,3,True
hh_0078,bldg_0087,5,True
hh_0079,bldg_0088,3,True
hh_0080,bldg_0089,5,True
hh_0081,bldg_0090,4,True
hh_0082,bldg_0091,4,True
hh_0083,bldg_0092,3,True
hh_0084,bldg_0093,4,True
hh_0085,bldg_0094,3,True
hh_0086,bldg_0095,3,True
hh_0087,bldg_0096,4,True
hh_0088,bldg_0097,5,True
hh_0089,bldg_0098,3,True
hh_0090,bldg_0099,3,True
hh_0091,bldg_0100,3,True
hh_0092,bldg_0101,3,True
hh_0093,bldg_0102,5,True
hh_0094,bldg_0103,3,True
hh_0095,bldg_0104,5,True
hh_0096,bldg_0105,3,True
hh_0097,bldg_0106,5,True
hh_0098,bldg_0107,4,True
hh_0099,bldg_0108,5,True
hh_0100,bldg_0109,4,True
hh_0101,bldg_0110,5,True
hh_0102,bldg_0111,5,True
hh_0103,bldg_0112,3,True
hh_0104,bldg_0114,5,True
hh_0105,bldg_0115,5,True
hh_0106,bldg_0116,3,True
hh_0107,bldg_0117,4,True
hh_0108,bldg_0118,5,True
hh_0109,bldg_0119,3,True
hh_0110,bldg_0120,4,True
hh_0111,bldg_0121,5,True
hh_0112,bldg_0122,3,True
hh_0113,bldg_0123,3,True
hh_0114,bldg_0124,4,True
hh_0115,bldg_0125,3,True
hh_0116,bldg_0126,5,True
hh_0117,bldg_0127,3,True
hh_0118,bldg_0129,5,True
hh_0119,bldg_0130,3,True
hh_0120,bldg_0131,3,True
hh_0121,bldg_0133,3,True
hh_0122,bldg_0134,3,True
hh_0123,bldg_0135,4,True
hh_0124,bldg_0136,3,True
hh_0125,bldg_0137,4,True
hh_0126,bldg_0138,4,True
hh_0127,bldg_0139,5,True
hh_0128,bldg_0140,5,True
hh_0129,bldg_0141,5,True
hh_0130,bldg_0142,4,True
hh_0131,bldg_0143,4,True
hh_0132,bldg_0144,3,True
hh_0133,bldg_0145,4,True
hh_0134,bldg_0146,5,True
hh_0135,bldg_0147,4,True
hh_0136,bldg_0148,3,True
hh_0137,bldg_0149,3,True
hh_0138,bldg_0153,5,True
hh_0139,bldg_0155,5,True
hh_0140,bldg_0157,3,True
hh_0141,bldg_0158,3,True
hh_0142,bldg_0159,5,True
hh_0143,bldg_0160,4,True
hh_0144,bldg_0161,4,True
hh_0145,bldg_0162,3,True
hh_0146,bldg_0163,4,True
hh_0147,bldg_0164,5,True
hh_0148,bldg_0166,5,True
hh_0149,bldg_0167,5,True
hh_0150,bldg_0168,5,True
